County,SummativeScore,tax_rate,lat,lng,assault,auto_theft,burglary,larceny,murder,rape,robbery
ATLANTIC,37.06915254,2.823782609,39.4431,-74.61701364,1626.9,1253.8,4440.5,20458.6,50.4,220.5,669.5
BERGEN,64.97935065,2.295671429,40.92987705,-74.04464262,1599.1,3391.3,3822.2,133132.2,22.5,256.1,566.3
BURLINGTON,46.8643,2.74475,39.98640556,-74.76062222,2164.5,1425.2,3041.7,18722.2,29.7,369.2,351.1
CAMDEN,41.72379845,3.90727027,39.8663675,-75.0303475,4614.3,2907.8,7202.8,47147.9,52.2,312.9,1594
CAPE MAY,38.47136364,1.27775,39.05300909,-74.83048636,1873.9,711,5667.1,46227.9,0,210.5,240.3
CUMBERLAND,26.44684211,3.165428571,39.40166,-75.14281,987.5,355.1,1336.8,5349.6,12.7,83.4,369
ESSEX,46.06614973,2.950909091,40.80367273,-74.23671818,1208.9,2988.6,1821.8,12442.7,44.3,160.3,691
GLOUCESTER,46.80264706,3.516208333,39.75397368,-75.14989474,1374.7,1204.1,3046.2,17238.8,37.6,67,403.9
HUDSON,46.07901961,2.074333333,40.75011,-74.07581,1030.3,924.9,1031.5,9284,6.2,121.3,461
HUNTERDON,58.4345,2.679115385,40.58042727,-74.9402,189.7,322.5,543.5,3868.5,0,6.3,3.6
MERCER,47.01184211,3.030166667,40.26576923,-74.67112308,1062.8,561.5,1036.5,5491.2,36.2,140.6,329.3
MIDDLESEX,50.82987179,2.58844,40.45995429,-74.39999714,1426.8,1041.8,1707.2,13087.3,23.7,115.5,353
MONMOUTH,54.92135135,1.889886792,40.2856,-74.1023807,2568.4,4474.1,5126.3,41677.3,6.4,546.7,778.9
MORRIS,66.5065625,2.309717949,40.88611905,-74.51422381,879.1,1648.2,2725,14550.3,16.5,166.7,204.9
OCEAN,42.08938144,1.809454545,39.89861395,-74.21142791,2173.9,3250.8,3723.6,29366.9,9.9,268.5,572.9
PASSAIC,42.42284553,3.1260625,40.94945,-74.21388571,1293.1,942,1130.1,9301.4,15.7,80.7,390.3
SALEM,41.55772727,3.4664,39.62054286,-75.3546,1564.6,806.3,2594.9,6705.4,231.9,330.1,672.2
SOMERSET,58.92763889,2.338809524,40.52062647,-74.58056471,190.6,934.8,1329.1,9442.7,5.2,81.6,151.6
SUSSEX,48.16216216,2.937625,41.09454667,-74.64102667,327.1,171.9,560.3,2747.8,7.1,61.7,12.8
UNION,53.45118056,3.613380952,40.65773846,-74.31702308,1065.5,1945.8,1668.9,11832.7,32.8,203.3,494.6
WARREN,50.62030303,3.016227273,40.79450937,-75.02623125,376.1,338.5,1154.7,9135.1,0,111,109.4
